file,name
ThesisMP4TEST5_f000003_1_c90_20251023_020352.jpg,
ThesisMP4TEST5_f000010_1_c89_20251023_020352.jpg,
ThesisMP4TEST5_f000011_0_c90_20251023_020352.jpg,
ThesisMP4TEST5_f000012_1_c83_20251023_020353.jpg,
ThesisMP4TEST5_f000027_3_c65_20251023_020354.jpg,
ThesisMP4TEST5_f000028_3_c69_20251023_020354.jpg,
ThesisMP4TEST5_f000030_0_c88_20251023_020354.jpg,
ThesisMP4TEST5_f000031_1_c85_20251023_020355.jpg,
ThesisMP4TEST5_f000034_0_c88_20251023_020355.jpg,
ThesisMP4TEST5_f000064_0_c90_20251023_020359.jpg,
ThesisMP4TEST5_f000065_0_c90_20251023_020359.jpg,
ThesisMP4TEST5_f000066_0_c89_20251023_020359.jpg,
ThesisMP4TEST5_f000067_0_c90_20251023_020359.jpg,
ThesisMP4TEST5_f000068_0_c89_20251023_020400.jpg,
ThesisMP4TEST5_f000080_3_c66_20251023_020402.jpg,
ThesisMP4TEST5_f000081_4_c63_20251023_020402.jpg,
ThesisMP4TEST5_f000082_4_c64_20251023_020402.jpg,
ThesisMP4TEST5_f000083_1_c83_20251023_020402.jpg,
ThesisMP4TEST5_f000084_0_c84_20251023_020402.jpg,
ThesisMP4TEST5_f000085_0_c91_20251023_020402.jpg,
ThesisMP4TEST5_f000086_0_c91_20251023_020402.jpg,
ThesisMP4TEST5_f000087_0_c92_20251023_020402.jpg,
ThesisMP4TEST5_f000088_0_c92_20251023_020403.jpg,
ThesisMP4TEST5_f000089_0_c91_20251023_020403.jpg,
ThesisMP4TEST5_f000090_0_c92_20251023_020403.jpg,
ThesisMP4TEST5_f000091_0_c90_20251023_020403.jpg,
ThesisMP4TEST5_f000106_1_c76_20251023_020406.jpg,
ThesisMP4TEST5_f000107_0_c83_20251023_020406.jpg,
ThesisMP4TEST5_f000108_1_c89_20251023_020406.jpg,
ThesisMP4TEST5_f000336_0_c90_20251023_020443.jpg,
ThesisMP4TEST5_f000337_0_c90_20251023_020443.jpg,
ThesisMP4TEST5_f000338_1_c89_20251023_020443.jpg,
ThesisMP4TEST5_f000339_1_c87_20251023_020443.jpg,
ThesisMP4TEST5_f000342_2_c88_20251023_020444.jpg,
ThesisMP4TEST5_f000343_4_c60_20251023_020444.jpg,
ThesisMP4TEST5_f000344_4_c60_20251023_020444.jpg,
ThesisMP4TEST5_f000346_0_c91_20251023_020444.jpg,
ThesisMP4TEST5_f000347_0_c90_20251023_020444.jpg,
ThesisMP4TEST5_f000354_2_c85_20251023_020446.jpg,
ThesisMP4TEST5_f000362_0_c89_20251023_020447.jpg,
ThesisMP4TEST5_f000363_2_c85_20251023_020447.jpg,
ThesisMP4TEST5_f000364_3_c76_20251023_020447.jpg,
ThesisMP4TEST5_f000365_5_c44_20251023_020447.jpg,
ThesisMP4TEST5_f000366_4_c68_20251023_020448.jpg,
ThesisMP4TEST5_f000367_4_c73_20251023_020448.jpg,
ThesisMP4TEST5_f000368_3_c81_20251023_020448.jpg,
ThesisMP4TEST5_f000370_2_c84_20251023_020448.jpg,
ThesisMP4TEST5_f000389_3_c86_20251023_020451.jpg,
ThesisMP4TEST5_f000393_0_c90_20251023_020451.jpg,
ThesisMP4TEST5_f000401_1_c82_20251023_020452.jpg,
ThesisMP4TEST5_f000405_2_c82_20251023_020453.jpg,
ThesisMP4TEST5_f000426_0_c87_20251023_020456.jpg,
ThesisMP4TEST5_f000475_1_c87_20251023_020502.jpg,
ThesisMP4TEST5_f000476_0_c89_20251023_020502.jpg,
ThesisMP4TEST5_f000477_1_c88_20251023_020502.jpg,
ThesisMP4TEST5_f000478_1_c89_20251023_020502.jpg,
ThesisMP4TEST5_f000479_1_c88_20251023_020503.jpg,
ThesisMP4TEST5_f000480_1_c89_20251023_020503.jpg,
ThesisMP4TEST5_f000482_1_c89_20251023_020503.jpg,
ThesisMP4TEST5_f000483_0_c89_20251023_020503.jpg,
ThesisMP4TEST5_f000485_1_c88_20251023_020503.jpg,
ThesisMP4TEST5_f000486_1_c87_20251023_020503.jpg,
ThesisMP4TEST5_f000487_1_c89_20251023_020503.jpg,
ThesisMP4TEST5_f000488_1_c89_20251023_020503.jpg,
ThesisMP4TEST5_f000489_1_c88_20251023_020504.jpg,
ThesisMP4TEST5_f000490_1_c87_20251023_020504.jpg,
ThesisMP4TEST5_f000491_1_c87_20251023_020504.jpg,
ThesisMP4TEST5_f000502_1_c83_20251023_020505.jpg,
ThesisMP4TEST5_f000504_1_c82_20251023_020506.jpg,
ThesisMP4TEST5_f000571_1_c89_20251023_020515.jpg,
ThesisMP4TEST5_f000574_1_c88_20251023_020516.jpg,
ThesisMP4TEST5_f000575_1_c86_20251023_020516.jpg,
ThesisMP4TEST5_f000578_1_c88_20251023_020517.jpg,
ThesisMP4TEST5_f000580_0_c86_20251023_020517.jpg,
ThesisMP4TEST5_f000582_0_c84_20251023_020517.jpg,
ThesisMP4TEST5_f000585_2_c83_20251023_020518.jpg,
