file,model,status,predicted,confidence,time,ground_truth,error
dean (1).jpg,FaceNet,ok,Unknown,0.0,2.2278122901916504,dean,[]
dean (1).jpg,ArcFace,ok,Jude,0.6730877812581417,3.749985456466675,dean,
dean (12).jpg,FaceNet,ok,dean,0.869736196445671,2.4006710052490234,dean,[]
dean (12).jpg,ArcFace,ok,Jude,0.7187146458562239,3.7355499267578125,dean,
dean (14).jpg,FaceNet,ok,dean,0.8854374151671932,1.385725498199463,dean,[]
dean (14).jpg,ArcFace,ok,Jude,0.7443508091767179,1.6852622032165527,dean,
dean (13).jpg,FaceNet,ok,dean,0.869975167167716,1.4746458530426025,dean,[]
dean (13).jpg,ArcFace,ok,Jude,0.7761822061181238,1.9778633117675781,dean,
dean (11).jpg,FaceNet,ok,Unknown,0.0,6.074546813964844,dean,[]
dean (11).jpg,ArcFace,ok,Jude,0.6939691435650531,3.0176050662994385,dean,
dean (15).jpg,FaceNet,ok,dean,0.8816569439917229,1.2809641361236572,dean,[]
dean (15).jpg,ArcFace,ok,Jude,0.8061437962834672,0.4330787658691406,dean,
dean (16).jpg,FaceNet,ok,dean,0.8000739223374741,0.9904365539550781,dean,[]
dean (16).jpg,ArcFace,ok,Jude,0.7129617908136373,0.38507080078125,dean,
dean (17).jpg,FaceNet,ok,dean,0.8870396820392908,0.5432260036468506,dean,[]
dean (17).jpg,ArcFace,ok,Jude,0.8102196860801072,0.47543907165527344,dean,
dean (10).jpg,FaceNet,ok,Unknown,0.0,10.350709915161133,dean,[]
dean (10).jpg,ArcFace,ok,Jude,0.7438148627216314,0.9770400524139404,dean,
dean (18).jpg,FaceNet,ok,dean,0.8482727407770175,0.4763662815093994,dean,[]
dean (18).jpg,ArcFace,ok,Unknown,0.0,0.19321608543395996,dean,
dean (19).jpg,FaceNet,ok,dean,0.7747909618989964,0.5221383571624756,dean,[]
dean (19).jpg,ArcFace,ok,Unknown,0.0,0.30345630645751953,dean,
dean (20).jpg,FaceNet,ok,Unknown,0.0,0.43616580963134766,dean,[]
dean (20).jpg,ArcFace,ok,Unknown,0.0,0.2912919521331787,dean,
dean (21).jpg,FaceNet,ok,Unknown,0.0,0.2922976016998291,dean,[]
